company,title,location
Odoo,Business Analyst | Schwerpunkt Accounting/Wirtschaftsprüfung,"Berlin, Germany"
myGwork - LGBTQ+ Business Community,Business Analyst - Transactional (Level 2),"Berlin, Berlin, Germany"
myGwork - LGBTQ+ Business Community,Business Analyst - Regulatory Reporting,"Berlin, Berlin, Germany"
IBM,Business Analysts P&C (f/m/x),"Berlin, Berlin, Germany"
CBTW,Business Analyst (m/w/d),"Berlin, Berlin, Germany"
DeepRec.ai,Regulatory Business Analyst,"Berlin, Germany"
Glambou,Operations Manager (m/w/d),"Berlin, Berlin, Germany"
Deloitte,Business Analyst / Consultant Cloud Integration (m/w/d),"Berlin, Berlin, Germany"
E.ON Digital Technology,Business Analyst Output Management (w/m/d),"Berlin, Berlin, Germany"
Michael Page,Business Analyst (m/w/d),"Berlin, Berlin, Germany"
NEW YORKER,BUSINESS ANALYST RETAIL PROCESSES*,"Berlin, Berlin, Germany"
Amadeus Fire,Senior Digital Marketing Analyst (m/w/d),"Berlin, Berlin, Germany"
msg for banking ag,Business Analyst / Banking (m/w/d),"Berlin, Berlin, Germany"
Gesellschaft zur Verwertung von Leistungsschutzrechten mbH,Business Analyst (m/w/d),"Berlin, Berlin, Germany"
Wall GmbH,Research Manager Marktforschung (m/w/d),"Berlin, Berlin, Germany"
Jooble,Betriebswirt als Business Analyst für E2E-Prozessoptimierung (m/w/d),"Potsdam, Brandenburg, Germany"
Agoda,"Analyst / Senior Analyst, Brand Marketing (Bangkok Based, relocation provided)","Berlin, Berlin, Germany"
zeb consulting,Consultant / Business Analyst (Senior) bei findic (w|m|d),"Berlin, Berlin, Germany"
Wayfair,SEO Analyst with German (m/f/x),"Berlin, Berlin, Germany"
IU International University of Applied Sciences,Duales Studium Gesundheitsmanagement (B.A.) am Campus oder virtuell,"Berlin, Berlin, Germany"
myGwork - LGBTQ+ Business Community,Business Analyst - Tax,"Berlin, Berlin, Germany"
Jooble,Duales Studium Gesundheitsmanagement (B.A.) am Campus oder virtuell M/W/D,"Berlin, Berlin, Germany"
Jooble,Duales Studium Tourismusmanagement (B.A.) am Campus oder virtuell M/W/D,"Berlin, Berlin, Germany"
IU International University of Applied Sciences,Duales Studium Soziale Arbeit (B.A.) am Campus oder virtuell,"Berlin, Berlin, Germany"
IU International University of Applied Sciences,Duales Studium Tourismusmanagement (B.A.) am Campus oder virtuell,"Berlin, Berlin, Germany"
Agoda,"Flight Marketing Analyst (Bangkok Based, relocation provided)","Berlin, Berlin, Germany"
Interhyp Gruppe,Duales Studium Betriebswirtschaftslehre / Bank B.A. mit Fokus Vertrieb (m/w/d),"Berlin, Berlin, Germany"
join.com,Tele Columbus AG: Business Analyst Consumer Sales (all genders),"Berlin, Berlin, Germany"
